Code,Lat,Long,State,news_count,headlines
DL,28.7041,77.1025,Delhi,128,"➤ 25% tariff threat: Trump’s Iran move rattles Xi; will it upend US-China truce?<br>➤ Operation Gang Bust: Delhi Police arrest over 500 criminals in 48 hours in fresh drive<br>➤ Vijay Hazare Trophy: Delhi Knocked Out; Patidar's MP Suffer Humiliating Loss<br>➤ 280 Gangsters Arrested In 5 States: Inside Delhi Police's 'Op Gang Bust'<br>➤ 7 Winter Street Food Favourites From Dilli Ki Galiyan<br>➤ Central Railway passenger traffic soars in FY26, revenue touches Rs 5,881 crore till December<br>➤ Rs 3,600 crore investment: What’s changing at 101 railway stations in West Bengal under Amrit Bharat Station Scheme<br>➤ Exclusive: Plans for four agile Army battle groups in the east gather pace<br>➤ Amid Bar association boycott, CJI lays foundation stone for ‘integrated judicial complex’ in North Guwahati<br>➤ Vande Bharat Sleeper to Amrit Bharat Express: Poll-bound West Bengal, Assam to get 11 new trains – Full list, routes<br>➤ ‘Why are you so worried, Mamata ji?’: BJP raps West Bengal CM for ‘snatching files’ during ED raid at I-PAC chief Pratik Jain’s Kolkata house<br>➤ Disquiet on Trump’s PM remark, but Delhi chooses not to react<br>➤ North, central India brace for a sharper cold wave: Temperature likely to fall 2-3°C in two days; dense fog to persist, says IMD<br>➤ Jitesh Sharma reacts to SHOCKING World Cup snub, says, ‘I was not…’<br>➤ SIR Process In West Bengal: Warnings, Legal Hurdles, And Voter Impact<br>➤ CBI summons Vijay again on 19 Jan for enquiry<br>➤ 'No more 10-minute delivery': Quick commerce players do away with deadline after labour minister intervenes<br>➤ Tata Motors launches all-new Punch SUV starting at Rs 5.59 lakh<br>➤ West Indies begin T20 World Cup preparation with Afghanistan series; King to lead<br>➤ India AI Impact Summit set to be a defining moment for India's AI journey<br>➤ ""BRICS must commit to reformed multilateralism reflecting contemporary realities"": EAM Jaishankar<br>➤ ""No talks on nuclear issue between DGMOs of India, Pak during Op Sindoor"": Army Chief General Dwivedi<br>➤ Tamil Nadu: TVK chief Vijay returns to Chennai after '7 hours' of CBI questioning on Karur stampede<br>➤ SC grants bail to MLA Abbas Ansari in UP Gangsters Act case<br>➤ Yash Rathod's 86 guides Vidarbha to 300/9 in Vijay Hazare Trophy quarter-final<br>➤ Venezuela crisis to have no impact on India, its companies: Crisil<br>➤ 87% of women-led MSMEs project strong growth in 2026, 72% of overall MSMEs plan to open new outlets: Report<br>➤ Delhi Police's 'Operation Gang Bust 2026': Arrests of 854 accused, 280 gangsters in 48-hour mega crackdown<br>➤ India's financial inclusion transforms lives of millions: DFS Secretary<br>➤ Supreme Court issues notice in Haryana DSP seniority dispute; UPSC impleaded<br>➤ Supreme Court issues notice in Haryana DSP seniority dispute; UPSC impleaded as respondent<br>➤ South-East Asia marks 15 years since last case of polio, legacy drives broader public health gains<br>➤ ""Attack on Tamil culture"": Rahul Gandhi backs Vijay's 'Jana Nayagan', attacks Centre over film certification<br>➤ Chinese Communist Party leaders meet RSS Sarkaryavah Dattatreya Hosabale in courtesy call<br>➤ Hidden Charges You Must Know Before Taking a Personal Loan<br>➤ ISPL Season 3: Bowlers defend 82 to hand Delhi Superheros first win against Majhi Mumbai<br>➤ Tamil Nadu to Host India's First Sovereign AI Park in Partnership with Sarvam AI<br>➤ USISPF applauds Ambassador Gor's vision for expanding US-India partnership<br>➤ ""Non-existent"" terrorist recruitment indicates positive change in J-K: Army Chief Dwivedi<br>➤ ""Arvind Kejriwal should have asked her to apologise"": Kapil Mishra on Atishi's alleged Guru Tegh Bahadur remark<br>➤ Despite global challenges, India's growth resilient, interest rates and low crude prices support pick-up: Report<br>➤ ""Preparing for ceremonial entry into Port Sultan Qaboos"": Sanjeev Sanyal on Day 16 of INSV Kaundinya's voyage<br>➤ IT Min Vaishnaw holds talks with Assistant to US President on AI Summit<br>➤ NGT directs WB authorities to clear Howrah's Belgachia dumpyard, enforce Solid Waste Management Rules<br>➤ ""Best example of tri-service synergy with full freedom to act"": Army Chief General Dwivedi says 'Op Sindoor ongoing'<br>➤ DMK's Dayanidhi Maran sparks debate says, ""In North India, girls are kept at home, but we want our girls to study""<br>➤ PSU banks to outperform system credit growth over medium term: HSBC Report<br>➤ EaseMyTrip announces 'Republic Day Travel Sale', offering big savings deals across flights, hotels, buses and more<br>➤ EAM says ""resilience, innovation, cooperation, and sustainability"" four ""broad priorities"" for India's BRICS 2026 Chairship<br>➤ BJP leadership meets to decide on national party president election<br>➤ Abu Dhabi Arabic Language Centre participates in New Delhi World Book Fair<br>➤ India's auto sales record robust growth across segments in 2025 on supportive policies<br>➤ Another feather in India's Tiger conservation story, under 5% mortality recorded in over 4 years<br>➤ Union Minister Kiren Rijiju arrives in Lucknow, to participate in VB G RAM G act events<br>➤ ""India's BRICS chairship will seek to bring global welfare,"" EAM says at BRICS logo unveiling<br>➤ RBI may need to do more open market operations to keep bond prices in check amid global tensions: SBI<br>➤ India reacts to German call to reduce 'dependence' on Russian weapons<br>➤ EAM Jaishankar launches logo, official website of BRICS 2026 under India Chairship<br>➤ Delhi Police launches 'Operation Gang Bust', arrests over 500 criminals<br>➤ Yash starrer 'Toxic' lands in legal trouble after activist moves CBFC over ""obscene, morally offensive scenes""<br>➤ Hindu man Shomir Das killed in Bangladesh, BJP's Amit Malviya says ""Interim govt not reined in tormentors of Hindus""<br>➤ Central govt capex likely to slow in rest of FY26 as spending front-loaded in first half: Morgan Stanley<br>➤ Defence Minister addresses joint services Multi-Speciality camp in Lakshadweep via video conference<br>➤ NIA takes over probe into Illegal Bangladeshi infiltration case from Delhi Police, begins investigation<br>➤ Rashtrapati Bhavan sends unique invitation showcasing North East's rich heritage to guests for the 'At Home' reception<br>➤ Delhi: Two motorcycle-borne men fire shots in air outside Pashchim Vihar gym<br>➤ ""Hugs exchanged even as China settles villages in Arunachal"": Supriya Shrinate slams BJP for meeting CCP delegation<br>➤ 2025 marks consolidation for Indian internet stocks, investors now await earnings clarity: Morgan Stanley<br>➤ DC's special team outing, Jemimah Rodrigues jams with Shankar Mahadevan<br>➤ Delhi HC issues 10-point health reform roadmap, seeks time-bound compliance<br>➤ No US official came to receive Ashwini Vaishnaw: Congress' Supriya Shrinate claims ""failure of diplomacy""<br>➤ Vijay starrer 'Jana Nayagan' makers move SC; seek ex-parte stay on Madras HC order stalling certification<br>➤ ""Action will definitely be taken"": BJP MP Ghulam Ali Khatana on e-cigarette complaint against TMC MP<br>➤ Indian High Commissioner meets Kenya's Prime Cabinet Secretary; sides agree to convene Joint Commission for Cooperation<br>➤ Trump's tariff warning on Iran trade raises concerns for Indian rice exporters: IREF<br>➤ ""Heartiest greetings to all of you"": Congress leader Mallikarjun Kharge extends Lohri greetings<br>➤ Delhi freezes as cold wave intensifies, AQI remains in 'very poor' category<br>➤ ""Cases of angina, heart attack increase during winter"": AIIMS Expert<br>➤ Think relationship with Bangladesh will come back on even keel: Congress' Manish Tewari<br>➤ President Murmu extends Lohri, Makar Sankranti, Pongal, Magh Bihu greetings<br>➤ India's inclusion in Pax silica reflects strategic trust: MeitY Secretary<br>➤ The Powerful Rise of Sports Analytics: How Wearables and Software Transform Athletic Performance<br>➤ Republic Day Curbs: Flying via Delhi Next Week? Airspace Restrictions From Jan 21-Check Advisory<br>➤ AI errors in voter list digitisation causing hardship during SIR, Mamata writes to EC chief<br>➤ Communist Party of China delegation visits BJP headquarters in Delhi<br>➤ No more 10-minute delivery: Blinkit, Zepto, Zomato Flipkart Minutes to end quick delivery service after Labour Ministry’s intervention, all you need to know<br>➤ No Legitimate Rule: The 1951 Annexation of Tibet and Coercion in Illusion of Consent<br>➤ PM Modi to Occupy New ‘Seva Teerth’ Office on Makar Sankranti, Marking an End to South Block Era After 77 Years<br>➤ RBI’s $10 billion FX swap oversubscribed three times<br>➤ TARC reports ₹977 crore sales in nine months, cash flows at ₹910 crore<br>➤ Orion Innovation expand Kochi facility, launch OI Envision Studio<br>➤ Sensex, Nifty seen opening firm amid earnings focus, tariff worries<br>➤ As We Fly Kites This Makar Sankranti, A Small Choice Can Make Skies Safer for Birds<br>➤ Couple Quits Gurugram Life to Build Storybook Homestay in the Forests of Himachal<br>➤ Meet the UP Coach Training 300+ Squash Players & Creating Champions From Small Towns<br>➤ IAS Officer Uses IoT to Raise Water Supply, Cut Power Bills by 40% in 16 Villages<br>➤ From Snake Rescues to Safer Honey Collection: These Heroes Protect the Sundarbans<br>➤ The Story Behind the Culinary Genius Whose Lucknow Cuisine Was Loved by the Queen<br>➤ How an IAS Officer Rejuvenated the 110-km Sot River and Transformed Sambhal’s Water Landscape<br>➤ Short Trip Ideas For Long Weekends From Jan to May 2026<br>➤ Chandni Chowk to Dal Lake: A Walk Through India’s Iconic ‘Chor’ Bazaars<br>➤ Watch | What These Parents Did When Their Child Hit an Emotional Low Is Rare<br>➤ Indian Engineers Develop Life-Saving Wearable Tech Device For Newborns<br>➤ Boys Don't  Dance Like That!<br>➤ St Stephen’s College: The Untold Story of Its Humble Beginnings in Chandni Chowk<br>➤ Video: Film shooting at Hyderabad’s Numaish, Pushpa actor spotted<br>➤ Hyderabad: Iconic Bollywood song that closes Numaish every night<br>➤ West Bengal Nipah Alert: What the Virus Is and Why It Worries Experts<br>➤ Punjab Police Officers Request Additional Time to Respond to FIR Against Kapil Mishra Over Video Controversy<br>➤ Delhi Government Considers Transforming Rajghat Power Plant into Cultural and Culinary Hub<br>➤ Delhi-NCR Residents Shiver As It’s Cooler Than Shimla; IMD Issues Cold Wave And Fog Warning<br>➤ PM Modi to Start Working from New Office on January 14 Makar Sankranti<br>➤ ‘It Wasn’t His Fault’: TVK Chief And Actor Vijay’s Fans Continue To Wait Outside CBI Office<br>➤ West Bengal: Bullet Khan of TMC arrested for abetting BLO Hamimul’s suicide, exposes party’s misleading anti-SIR claim<br>➤ Kerala tops inflation nationwide, funds remain unutilised as state blames centre; BJP flags fiscal mismanagement<br>➤ Shaksgam Valley is sacrosanct to Indian Union: New Delhi debunks the illegal claim of China over strategic zone in PoJK<br>➤ Odisha: Concern over law and order as local residents oppose proposed Tablighi event in Khurda district<br>➤ UP police arrest Khalid & two others for identity fraud, recover fake Aadhaar cards bearing both Hindu & Muslim names<br>➤ Delhi CM distributes Rs 25.25 crore scholarships to 1,709 students<br>➤ Gen-Z protests in 3 Asian nations must be examined: Manish Tewari<br>➤ Citizenship For Rs 30,000? NDTV Report On Illegal Immigration In Mumbai<br>➤ Operation Gang Bust: Delhi Police Arrests 280 Gangsters In 48-hour Crackdown<br>➤ Shots Fired At Delhi Gym, Lawrence Bishnoi Gang Claims Responsibility<br>➤ Delhi Schools To Release Nursery And Class 1 Admission Lists With Points Based Criteria<br>➤ Nipah Virus Suspected In West Bengal: Know Symptoms, Causes And Preventive Measures<br>➤ Delhi Airport Ops To Be Hit For 6 Days For Republic Day Security<br>➤ At 3 Degrees Celsius, Delhi Wakes Up To Coldest January Morning In 3 Years<br>➤ Rodenticides Traces Found In Dead Chousinghas At Delhi Zoo, Reveals Report"
MH,19.7515,75.7139,Maharashtra,32,"➤ UP man clubs mother, wife to death, chews flesh from skulls; village watches in terror<br>➤ On Post-Poll Ties With BJP In Mumbai Civic Body, Ajit Pawar's Emphatic No<br>➤ The World’s Happiest cities list is out and Mumbai is ranked…<br>➤ Mumbai airport among the 10 best in 2025. Here’s who else is on the list<br>➤ ISPL Season 3: Bowlers defend 82 to hand Delhi Superheros first win against Majhi Mumbai<br>➤ ""These cowards...who is this Annamalai?"" Saamana editorial slams remarks on Mumbai by BJP leader<br>➤ ""Marathi manus in danger because of BJP"": Sanjay Raut lambasts Devendra Fadnavis' critique of Thackeray brothers<br>➤ NCP's Nawab Malik takes swipe at CM Fadnavis, K Annamalai over divisive politics remarks ahead of BMC polls<br>➤ ""Do not like this, I have a secular mindset"": Ajit Pawar condemns 'communal remarks' amid BMC polls<br>➤ ""We have to play good cricket to come back"": Coach Abhishek Nayar after UPW's loss to RCB<br>➤ Mischief during Hindu festivals won't be tolerated: BJP's Nitesh Rane as Municipal poll battle intensifies<br>➤ Corruption increasing in PCMC; need to clean city: Ajit Pawar repeats charge against BJP<br>➤ Have always fought against each other, nothing different here: Ajit Pawar on NCP's breakaway from Mahayuti for local body polls<br>➤ ""Money being offered to voters, candidates"": Raj Thackeray's serious charge against Mahayuti ahead of Maharashtra civic polls<br>➤ ‘Rasmalai, Lungi & Threats’: Election Rhetoric Hits New Low In Maharashtra BMC Polls<br>➤ Ajit Pawar did not uphold commitment for friendly contest in Pune: Maharashtra CM Fadnavis on NCP chief’s corruption allegations<br>➤ Good News! MPSC Increases Vacancies For Maharashtra Gazetted State Services Exam 2025 From 385 To 605<br>➤ Mumbai Marathon 2026: Complete Route Explained, Key Roads, Turns & Challenge Zones<br>➤ Mumbai Patients Stick To Branded Medicines Despite Affordable Generic Options<br>➤ Maharashtra News: 'Those Playing Politics In Name Of Marathi Identity Should First Look At History,' Says BJP State President Ravindra Chavan<br>➤ Navi Mumbai International Airport to be named after D B Patil: Fadnavis<br>➤ Despite Studying 14 Hrs a Day & Clearing CA, This 26-YO Chose 'Wellness' as a Career<br>➤ Chandni Chowk to Dal Lake: A Walk Through India’s Iconic ‘Chor’ Bazaars<br>➤ Emraan Hashmi’s flight fails to land in Ahmedabad: Reports<br>➤ Liquor, drugs, weapons seized in Maharashtra’s Nanded ahead of civic polls<br>➤ Fadnavis Critiques Thackeray Cousins' Survival Struggle Ahead of BMC Election<br>➤ BMC Elections: Annamalai Responds Sharply to Raj Thackeray’s ‘Rasmalai’ Comment<br>➤ I miss how Lohri felt at home: Arsh Aneja<br>➤ Before buying a BMW, Mumbai entrepreneur called his father - what he said struck a chord online<br>➤ Annamalai's Mumbai remark sparks row<br>➤ Citizenship For Rs 30,000? NDTV Report On Illegal Immigration In Mumbai<br>➤ IIM Nagpur MBA Admissions 2026-28: Fees, Seats, Selection Explained"
TN,11.1271,78.6569,Tamil Nadu,22,"➤ Amid Trump tariff worries, a Tamil Nadu caution: 30 lakh jobs at risk<br>➤ Here’s how Southern Railway’s coaching terminal expansion will help to run more trains from Chennai, Coimbatore & Ernakulam<br>➤ Karur stampede case: CBI summons Vijay for questioning<br>➤ Book in advance for Pongal special buses: TN govt<br>➤ CBI summons Vijay again on 19 Jan for enquiry<br>➤ Pongal fete: Banks in TN to remain closed for 4 days<br>➤ Tamil Nadu: TVK chief Vijay returns to Chennai after '7 hours' of CBI questioning on Karur stampede<br>➤ Tamil Nadu to Host India's First Sovereign AI Park in Partnership with Sarvam AI<br>➤ DMK's Dayanidhi Maran sparks debate says, ""In North India, girls are kept at home, but we want our girls to study""<br>➤ Tamil Nadu Dy CM Udhayanidhi Stalin distributes laptops to students under Ulagam Ungal Kaiyil scheme<br>➤ NCP's Nawab Malik takes swipe at CM Fadnavis, K Annamalai over divisive politics remarks ahead of BMC polls<br>➤ Tamil Nadu Youth Congress Seeks Ban On Sivakarthikeyan’s Parasakthi, Calls It 'Pro-DMK, Anti-Hindu'<br>➤ Leaders will take call on alliance for TN Assembly polls: TVK General Secy after Vijay returns to Chennai<br>➤ 'Develop India That Respects All Languages': Congress Leader Rahul Gandhi At Gudalur School Event In Tamil Nadu | VIDEO<br>➤ Sabarimala season lifts pepper prices, cheers Idukki farmers<br>➤ TN releases policy on circular economy to enhance their competitiveness<br>➤ Tamil Nadu unveils Warehousing Policy 2026 to boost logistics in Tier II, III cities<br>➤ Chennai Airport’s T2 Expansion Project urged for timely completion<br>➤ How Chennai Took 1.7 Million Cubic Metres of Landfill Waste and Turned It Into Furniture<br>➤ IAS Officer Uses IoT to Raise Water Supply, Cut Power Bills by 40% in 16 Villages<br>➤ ‘It Wasn’t His Fault’: TVK Chief And Actor Vijay’s Fans Continue To Wait Outside CBI Office<br>➤ Kerala tops inflation nationwide, funds remain unutilised as state blames centre; BJP flags fiscal mismanagement"
