Code,Lat,Long,State,news_count,headlines
KL,10.8505,76.2711,Kerala,20,"➤ ‘Extraordinary situation’: Kerala CM leads protest against ‘financial restrictions’ imposed by Centre<br>➤ Kerala MLA Rahul Mamkootathil arrested in third rape case against him<br>➤ Here’s how Southern Railway’s coaching terminal expansion will help to run more trains from Chennai, Coimbatore & Ernakulam<br>➤ No backbenchers, lighter schoolbags: Kerala schools will change from next academic year<br>➤ Pained over ideological deviation of CPM: Kerala Left’s media face Reji Lukose joins BJP<br>➤ From rescue to ‘attempted murder’: How a Kerala man’s attempt to ‘win back girlfriend’ backfired<br>➤ The first International Spice Routes Conference in Kerala tells the story of spices through ancient trade networks and social histories<br>➤ From Kerala to Punjab, 10 Indian states that have banned Coldrif cough syrup<br>➤ BJP Loses Bypoll in Thiruvananthapuram Corporation, Short of Majority by 1 Seat<br>➤ ""Mahatma Gandhi's name should be restored"": Ramesh Chennithala on VB G-RAM-G scheme replacing MGNREGA<br>➤ 'Love you to moon and back': CM Vijayan's silent gesture at LDF Satyagraha sparks debate, seen as support for Rahul Mamkootathil case survivor<br>➤ Sabarimala season lifts pepper prices, cheers Idukki farmers<br>➤ Short Trip Ideas For Long Weekends From Jan to May 2026<br>➤ Kerala unit of BJP extends support to renaming of state; sends letter to PM, CM<br>➤ Kerala Lottery Sthree Sakthi Winners 13 January - Full Results And Winning Numbers<br>➤ Kerala Chief Minister's Teacup During Protest Sparks Debate on Solidarity with Assault Survivor<br>➤ Kerala Bhagyathara Winners 12 January - Full Results And Prize Details<br>➤ Kerala tops inflation nationwide, funds remain unutilised as state blames centre; BJP flags fiscal mismanagement<br>➤ Kerala Elections 2026: Who will rule the Left's last bastion?<br>➤ Kerala Lawyer Dies After Gun Goes Off Accidentally As His Scooter Overturns"
WB,22.9868,87.855,West Bengal,15,"➤ Gold Today Rate, January 13: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities<br>➤ Rs 3,600 crore investment: What’s changing at 101 railway stations in West Bengal under Amrit Bharat Station Scheme<br>➤ Gold Today Rate, January 12: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities<br>➤ Howrah to Guwahati: Here’s how India’s 1st Vande Bharat sleeper train could transform travel experience<br>➤ ‘Why are you so worried, Mamata ji?’: BJP raps West Bengal CM for ‘snatching files’ during ED raid at I-PAC chief Pratik Jain’s Kolkata house<br>➤ Gold Today Rate, January 9: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities<br>➤ Gold Today Rate, January 8: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities<br>➤ NGT directs WB authorities to clear Howrah's Belgachia dumpyard, enforce Solid Waste Management Rules<br>➤ Purpose with Profit: This Kolkata Startup Has Made 100 Million Litres of Water from Air<br>➤ Chandni Chowk to Dal Lake: A Walk Through India’s Iconic ‘Chor’ Bazaars<br>➤ Boys Don't  Dance Like That!<br>➤ Kolkata Metro railway services face brief disruption due to power supply glitch<br>➤ West Bengal Nipah Alert: What the Virus Is and Why It Worries Experts<br>➤ West Bengal: Bullet Khan of TMC arrested for abetting BLO Hamimul’s suicide, exposes party’s misleading anti-SIR claim<br>➤ Power issue halts Kolkata metro briefly during peak hours"
JK,33.7782,76.5762,Jammu and Kashmir,13,"➤ J&amp;K: Security forces launch search operations in Kathua; gunshots heard<br>➤ Lt Governor Manoj Sinha Sacks 5 J&K Government Employees For Terror Links<br>➤ Forces make contact with terrorists in Jammu’s Kathua<br>➤ From pigeons to pistols: What security forces intercepted along the Jammu border ahead of Republic Day<br>➤ Arms consignment dropped by drone seized near IB in J-K’s Samba<br>➤ BJP leader calls for separate Jammu state, Omar Abdullah responds: ‘You couldn’t handle Ladakh…’<br>➤ ""Non-existent"" terrorist recruitment indicates positive change in J-K: Army Chief Dwivedi<br>➤ Cold wave grips Kashmir; tourists enjoy winter charm at Dal Lake<br>➤ China lays claim to Kashmir's Shaksgam Valley, says infrastructure construction justified<br>➤ Chandni Chowk to Dal Lake: A Walk Through India’s Iconic ‘Chor’ Bazaars<br>➤ Encounter Breaks Out In Jammu And Kashmir’s Kathua As Security Forces Launch Anti-Terror Operation<br>➤ Kerala tops inflation nationwide, funds remain unutilised as state blames centre; BJP flags fiscal mismanagement<br>➤ Shaksgam Valley is sacrosanct to Indian Union: New Delhi debunks the illegal claim of China over strategic zone in PoJK"
MP,22.9734,78.6569,Madhya Pradesh,12,"➤ Vijay Hazare Trophy: Delhi Knocked Out; Patidar's MP Suffer Humiliating Loss<br>➤ Madhya Pradesh will overhaul water monitoring with robotics, GIS mapping after Indore deaths<br>➤ Congress demands SC-level probe into Indore water deaths<br>➤ Madhya Pradesh says 8 died of Indore water contamination. But records show 18 families compensated<br>➤ State response on Indore water deaths insensitive, High Court says<br>➤ Cricketer Kranti Gaud’s father, suspended 13 years ago from Madhya Pradesh police, is reinstated – after CM’s nudge<br>➤ MP Govt rolls out paperless e-cabinet; CM Mohan Yadav, ministers attend meeting with tablets<br>➤ Short Trip Ideas For Long Weekends From Jan to May 2026<br>➤ Madhya Pradesh High Court Rules Guardians Can Be Held Responsible for Minors Flying Kites with Chinese String<br>➤ No Sex For Eight Years? Indore Man Allegedly Murders Wife For Refusing Intimacy<br>➤ Kerala tops inflation nationwide, funds remain unutilised as state blames centre; BJP flags fiscal mismanagement<br>➤ Madhya Pradesh Farmers Await A Fair Deal From Budget 2026"
GJ,22.2587,71.1924,Gujarat,11,"➤ Class 12 girl kidnapped, gang-raped inside moving car in Bikaner<br>➤ Gujarat High Court Rejects Kejriwal’s Plea In PM Modi Degree Defamation Case<br>➤ Gujarat Titans to roll-out third edition of junior titans across five cities in state<br>➤ India a ‘Partner of Choice’ for Germany; India–EU FTA Crucial for Deeper Economic Ties: German Chancellor Merz<br>➤ PM Modi, German Chancellor Fly Lord Hanuman Kite in Gujarat as ‘Operation Sindoor’ Banner Soars; India–EU Free Trade Deal on Agenda<br>➤ India’s pandemic preparedness gets a boost with 2nd level-4 biocontainment facility in Gujarat<br>➤ KP Group signs ₹4,000 crore MoU with Gujarat for renewable energy projects<br>➤ PM degree case: Gujarat HC dismisses AAP leaders’ plea for separate trials<br>➤ Emraan Hashmi’s flight fails to land in Ahmedabad: Reports<br>➤ German Chancellor pays tributes to Mahatma Gandhi<br>➤ The 1950s Backdrop To Thackerays' Gujarat Plot Charge Ahead Of BMC Polls"
TG,18.1124,79.0193,Telangana,11,"➤ Telangana rights panel slams ‘medical negligence’, recommends Rs 8 lakh additional compensation, job for family after botched surgery death<br>➤ Muslim man who defecated inside Hindu temple in Hyderabad dubbed as ‘mentally unsound’: List of cases where similar alibi has been used to whitewash hate crime and Hinduphobia<br>➤ ""Congress hypocrisy exposed"": Telangana BJP chief Ramchander Rao on Revanth Reddy's auto-debit traffic fine plan<br>➤ SIT headed by CP Sajjnar to probe defamatory content against ministers<br>➤ Telangana DCA busts racket selling fake anti-epileptic drug<br>➤ Hyderabad: HYDRAA receives 76 complaints during Prajavani<br>➤ 47 metric tonnes of e-waste collected as GHMC launches drive<br>➤ Elderly woman injured after leg gets entangled in ‘Chinese Manja’ in Hyderabad<br>➤ Telangana: Altaf arrested for alleged desecration at Katta Maisamma Temple in Hyderabad; Congress maintains silence<br>➤ Take Care Of Your Parents Or Lose 15% Salary: Telangana Plans New Law<br>➤ Hyderabad Man Duped Of Rs 27 Lakh In Online Trading Scam"
BR,25.0961,85.3131,Bihar,11,"➤ Abducted and raped, Bihar orchestra dancer rescued after calling cops with intoxicated accused’s phone<br>➤ Murder to riots, serious violent crimes in Bihar fall to lowest in over two decades<br>➤ Bribery, DA cases hit 25-year high in 2025 as corruption FIRs nearly double in Bihar<br>➤ Over 250 years old, struggling Munger gun factories get a shot in the arm<br>➤ Red faces in Bihar Congress as leaders come to blows during meeting to review election drubbing<br>➤ 2 cops accused of pocketing gold, silver, cash found in raid at thief’s Bihar home<br>➤ BJP to get new President soon as Nitin Nabin to file nomination for top post on this date<br>➤ This 17-YO From Gurugram Built a Platform Helping Over 4000 Indian Artisans Earn Directly<br>➤ Bihar Horror: 6 Men Abduct Woman From Road, Force Her To Drink Alcohol And Gang-Rape Her<br>➤ Kerala tops inflation nationwide, funds remain unutilised as state blames centre; BJP flags fiscal mismanagement<br>➤ What Remains Of The Darbhanga Royal Family That Once Donated 600 Kg Gold"
AS,31.1048,77.1734,Assam,10,"➤ Seed money, big dreams: Eye on Assam elections, CM rolls out MMUA funds; ‘Lakhpati Didi’ vision gains ground<br>➤ Communal tension grips Assam’s Kokrajhar over rape case, accused shot at ‘while trying to flee custody’<br>➤ 21 officers awarded for ‘child-friendly policing’ in Assam<br>➤ Vande Bharat Sleeper to Amrit Bharat Express: Poll-bound West Bengal, Assam to get 11 new trains – Full list, routes<br>➤ ‘India’s PM will always be a Hindu’: Assam CM Himanta replies to Owaisi’s ‘hijab-clad woman as PM’ remark<br>➤ ‘Conspiracy to delete large number of voters’: Assam Opposition steps up ‘vote chori’ claims against BJP, approaches police, ECI<br>➤ Congress’s latest ‘vote chori’ claim: ‘Temporary voters’ in Assam<br>➤ Assam is gearing up to celebrate Magh Bihu on Jan 13-14<br>➤ AAMSU Urges Election Commission to Include NRC Names in Final Electoral Rolls for Assam Voters<br>➤ Kerala tops inflation nationwide, funds remain unutilised as state blames centre; BJP flags fiscal mismanagement"
OD,20.9517,85.0985,Odisha,10,"➤ Security stepped up after bomb threats to Odisha courts, police chief says ‘closely monitoring’ situation<br>➤ Over a lakh enumerators, 15,000 supervisors: How Odisha is gearing up for Census<br>➤ ‘Habitual RTI applicant took bribes from officials to withdraw applications’: Odisha Information Commission approaches police<br>➤ Four children sustain severe burns after fellow student throws paint thinner, lights match in Odisha school<br>➤ Odisha: Two jaundice cases detected at Dhenkanal school<br>➤ Odisha Football Club confirms its participation in upcoming ISL season<br>➤ Short Trip Ideas For Long Weekends From Jan to May 2026<br>➤ 1.3 Lakh Pregnant Women in Odisha Benefit From Free Ultrasound Services, Thanks to This IAS Officer<br>➤ Kerala tops inflation nationwide, funds remain unutilised as state blames centre; BJP flags fiscal mismanagement<br>➤ Odisha: Concern over law and order as local residents oppose proposed Tablighi event in Khurda district"
UT,30.0668,79.0193,Uttarakhand,9,"➤ Exclusive: Hiccup in Beatles Ashram revamp plan prompts sharp response from Uttarakhand govt<br>➤ Pressure mounting, Uttarakhand CM recommends CBI probe into Ankita Bhandari murder<br>➤ ‘Doesn’t it look like conspiracy to you?’: Uttarakhand CM Dhami suggests Ankita Bhandari protests meant to hinder his work, promises no one will be shielded<br>➤ Uttarakhand SIC orders High Court to disclose status of corruption complaints against subordinate judiciary<br>➤ Uttarakhand CM Dhami extends Lohri greetings to people of the state<br>➤ Short Trip Ideas For Long Weekends From Jan to May 2026<br>➤ This Uttarakhand Village Has Hung Corn Outside Homes for Generations — Here’s Why<br>➤ 5 Uttarakhand Treks That Offer Peace, Solitude & Spectacular Views<br>➤ Earthquake of magnitude 3.5 hits Bageshwar in Uttarakhand"
UP,26.8467,80.9462,Uttar Pradesh,8,"➤ SC grants bail to MLA Abbas Ansari in UP Gangsters Act case<br>➤ Union Minister Kiren Rijiju arrives in Lucknow, to participate in VB G RAM G act events<br>➤ Mathura murder case: Husband killed wife with friend's help, arrested after encounter<br>➤ The Story Behind the Culinary Genius Whose Lucknow Cuisine Was Loved by the Queen<br>➤ How an IAS Officer Rejuvenated the 110-km Sot River and Transformed Sambhal’s Water Landscape<br>➤ Kerala tops inflation nationwide, funds remain unutilised as state blames centre; BJP flags fiscal mismanagement<br>➤ Screams, smashed skulls, flying flesh: Labourer descends into psychosis, kills wife and mother; cannibal horror stuns UP village<br>➤ Food Authority Seizes 7,210 Kg Of Adulterated Ghee In Uttar Pradesh"
HR,29.0588,76.0856,Haryana,8,"➤ Panchkula residents challenge Haryana’s ‘unjustified’ fixed power tariffs before regulatory commission<br>➤ Supreme Court issues notice in Haryana DSP seniority dispute; UPSC impleaded<br>➤ Supreme Court issues notice in Haryana DSP seniority dispute; UPSC impleaded as respondent<br>➤ Couple Quits Gurugram Life to Build Storybook Homestay in the Forests of Himachal<br>➤ Short Trip Ideas For Long Weekends From Jan to May 2026<br>➤ This 17-YO From Gurugram Built a Platform Helping Over 4000 Indian Artisans Earn Directly<br>➤ Haryana police takes down 67 songs promoting gangs and gun culture<br>➤ Kerala tops inflation nationwide, funds remain unutilised as state blames centre; BJP flags fiscal mismanagement"
CT,21.2787,81.8661,Chhattisgarh,6,"➤ Missing letter leads to headmistress’s suspension after exam question ‘hurts religious sentiment’ in Chhattisgarh<br>➤ VC asks writer Manoj Rupda to leave seminar at Chhattisgarh varsity; later says outrage ‘blown out of proportion’<br>➤ Chhattisgarh Congress MLA arrested in cheating case, party calls it BJP ‘conspiracy’<br>➤ Tug of war between Chhattisgarh BJP MP, minister goes to High Court<br>➤ As Chhattisgarh sees 26 more Maoist surrenders, police say insurgents ‘nearly pushed out’ of Sukma<br>➤ Former Union minister’s son arrested in Raipur hit-and-run, granted bail; ‘CCTV stopped working hour before incident’"
PB,31.1471,75.3412,Punjab,6,"➤ Vijay Hazare Trophy: Delhi Knocked Out; Patidar's MP Suffer Humiliating Loss<br>➤ Who is Dulla Bhatti, the Robinhood of Punjab Immortalised in Famous Lohri Song?<br>➤ Supreme Court issues notice in Haryana DSP seniority dispute; UPSC impleaded<br>➤ Supreme Court issues notice in Haryana DSP seniority dispute; UPSC impleaded as respondent<br>➤ Harbhajan Singh welcomes Bathinda Premier League, says many cricketers will get an opportunity<br>➤ Punjab Police Officers Request Additional Time to Respond to FIR Against Kapil Mishra Over Video Controversy"
GA,15.2993,74.124,Goa,5,"➤ ‘Had disagreements… but never left’: New AAP Goa chief after party picks founding member as state chief amid turmoil<br>➤ ‘Wonder the state of the common man’: Goa MP gets EC notice over SIR<br>➤ ‘Enough is enough’ echoes in Panaji as prominent Goans gather in major push to protect state’s hills, lakes, identity<br>➤ Short Trip Ideas For Long Weekends From Jan to May 2026<br>➤ Watch: Goa Woman Helps Foreign Tourist After Google Maps Glitch Leaves Her Stranded"
RJ,27.0238,74.2179,Rajasthan,4,"➤ Class 12 girl kidnapped, gang-raped inside moving car in Bikaner<br>➤ Rajasthan ACB ‘exposes’ Rs 2000 crore mid-day meal scam, 21 booked<br>➤ 14 Patients Shifted Out Of ICU Due To Water Leak In Jaipur Hospital<br>➤ Man, 68, Escapes Jail For Robbery. 50 Cases Filed Against Him Since 1984"
MN,24.6637,93.9063,Manipur,3,➤ Manipur fuel stations shut down indefinitely after bomb attack in Bishnupur<br>➤ Manipur violence: The first of cases being probed by CBI reaches trial stage<br>➤ Odisha: Concern over law and order as local residents oppose proposed Tablighi event in Khurda district
AP,15.9129,79.74,Andhra Pradesh,3,"➤ Sabarimala season lifts pepper prices, cheers Idukki farmers<br>➤ The Story Behind the Culinary Genius Whose Lucknow Cuisine Was Loved by the Queen<br>➤ YSR Congress Protests Closure Of Skill Scam Case Against Chandrababu Naidu"
JH,23.6102,85.2799,Jharkhand,3,"➤ Abducted by armed militants in Niger, 5 Jharkhand workers released after MEA, state govt efforts over 8 months<br>➤ Jharkhand woman overcomes father’s murder, poverty to join BSF<br>➤ Connecting children to Bharatiya culture key to counter social media’s harmful impact: Dattatreya Hosabale"
HP,31.1048,77.1734,Himachal Pradesh,2,"➤ HPBOSE set to roll out ""one school, one syllabus"" scheme to reduce pressure from Class 10 students<br>➤ Couple Quits Gurugram Life to Build Storybook Homestay in the Forests of Himachal"
AR,28.218,94.7278,Arunachal Pradesh,2,"➤ China provokes again, claims Shaksgam Valley based on illegal 1963 deal with Pakistan: Know why this Himalayan territory was always a part of India<br>➤ Arunachal Pradesh Lottery Singam Summit Noon Winners 13 January - Full Results And Prize Details"
LD,10.0,73.0,Lakshadweep,2,➤ Defence Minister addresses joint services Multi-Speciality camp in Lakshadweep via video conference<br>➤ Call to set up integrated fisheries hub in Lakshadweep
KA,15.3173,75.7139,Karnataka,2,"➤ ""Unnecessary statements being made to create confusion"": Karnataka Minister G Parameshwara on Hate speech bill<br>➤ GBA Corporation Elections to be held as per Supreme Court order: Karnataka Dy CM Shivakumar"
NL,26.1584,94.5624,Nagaland,2,➤ Nagaland Sambad Lottery Dear Shine Tuesday Winners On 13 January At 1 PM<br>➤ Nagaland Sambad Lottery Dear Clover Winners 12 January 8 PM - Full Results And Details
SK,27.533,88.5122,Sikkim,2,"➤ Short Trip Ideas For Long Weekends From Jan to May 2026<br>➤ This Rare Himalayan Flower Blooms Once in Decades, Revealing a Fragile Wonder"
LA,34.2996,78.2932,Ladakh,2,➤ Shaksgam Valley is sacrosanct to Indian Union: New Delhi debunks the illegal claim of China over strategic zone in PoJK<br>➤ 'Pak Will Fall Apart Soon': Ladakh Lt Governor On China's Shaksgam Claim
ML,25.467,91.3662,Meghalaya,1,➤ Short Trip Ideas For Long Weekends From Jan to May 2026
PY,11.9416,79.8083,Puducherry,1,➤ Pongal fete: Banks in TN to remain closed for 4 days
TR,23.9408,91.9882,Tripura,1,➤ Ten Arrested After Communal Violence In Tripura’s Unakoti District
